# DeltaG0 (kT)	h (nm)	Explicit pair potential (kT / nm^2)	Mean field pair potential (kT / nm^2)
-10.4277	37	-2.74077e-05	-1.93986e-05
-10.4277	37.5	-2.07143e-05	-1.45321e-05
-10.4277	38	-1.46316e-05	-1.01995e-05
-10.4277	38.5	-9.17963e-06	-6.33163e-06
-10.4277	39	-4.27158e-06	-2.9085e-06
-10.4277	39.5	0	0

-10.6992	5	0.0102576	0.010165
-10.6992	5.5	0.00845667	0.0083678
-10.6992	6	0.00703263	0.0069481
-10.6992	6.5	0.00587001	0.00578907
-10.6992	7	0.00490185	0.00482622
-10.6992	7.5	0.00408166	0.00401052
-10.6992	8	0.00338457	0.00331796
-10.6992	8.5	0.002787	0.00272479
-10.6992	9	0.00227683	0.0022187
-10.6992	9.5	0.00184326	0.00178875
-10.6992	10	0.00148064	0.00143076
-10.6992	10.5	0.00117152	0.00112617
-10.6992	11	0.000906408	0.000865125
-10.6992	11.5	0.000677863	0.000641062
-10.6992	12	0.000479541	0.000446421
-10.6992	12.5	0.000309751	0.000280314
-10.6992	13	0.000165341	0.000140353
-10.6992	13.5	3.97109e-05	1.83756e-05
-10.6992	14	-6.45984e-05	-8.20085e-05
-10.6992	14.5	-0.000155778	-0.00016992
-10.6992	15	-0.000231108	-0.000240926
-10.6992	15.5	-0.00029602	-0.000302442
-10.6992	16	-0.000348537	-0.000351759
-10.6992	16.5	-0.00039126	-0.000390729
-10.6992	17	-0.000428021	-0.000424401
-10.6992	17.5	-0.000456882	-0.000449727
-10.6992	18	-0.000478387	-0.000467391
-10.6992	18.5	-0.000493672	-0.000479638
-10.6992	19	-0.000505368	-0.000488458
-10.6992	19.5	-0.000511608	-0.000491348
-10.6992	20	-0.000513699	-0.000490704
-10.6992	20.5	-0.000512578	-0.000486272
-10.6992	21	-0.000508856	-0.00047993
-10.6992	21.5	-0.000502513	-0.000470874
-10.6992	22	-0.000493013	-0.000458651
-10.6992	22.5	-0.000481932	-0.000445209
-10.6992	23	-0.000469283	-0.000430347
-10.6992	23.5	-0.000455095	-0.000414057
-10.6992	24	-0.000439853	-0.00039679
-10.6992	24.5	-0.000423132	-0.000378367
-10.6992	25	-0.000405635	-0.000359421
-10.6992	25.5	-0.000387535	-0.000339957
-10.6992	26	-0.000368906	-0.00032039
-10.6992	26.5	-0.000349783	-0.000300613
-10.6992	27	-0.000330563	-0.00028095
-10.6992	27.5	-0.000311076	-0.000261387
-10.6992	28	-0.000291629	-0.000242175
-10.6992	28.5	-0.000272693	-0.000223675
-10.6992	29	-0.00025355	-0.000205692
-10.6992	29.5	-0.000235047	-0.000188184
-10.6992	30	-0.000216734	-0.000171358
-10.6992	30.5	-0.000199021	-0.000155346
-10.6992	31	-0.000181846	-0.000140096
-10.6992	31.5	-0.000165156	-0.000125635
-10.6992	32	-0.00014918	-0.000112007
-10.6992	32.5	-0.000134022	-9.93669e-05
-10.6992	33	-0.000119398	-8.74411e-05
-10.6992	33.5	-0.00010565	-7.64146e-05
-10.6992	34	-9.25741e-05	-6.6114e-05
-10.6992	34.5	-8.04048e-05	-5.67841e-05
-10.6992	35	-6.89881e-05	-4.81124e-05
-10.6992	35.5	-5.83868e-05	-4.03099e-05
-10.6992	36	-4.85103e-05	-3.31234e-05
-10.6992	36.5	-3.94581e-05	-2.66575e-05
-10.6992	37	-3.1165e-05	-2.08802e-05
-10.6992	37.5	-2.359e-05	-1.56439e-05
-10.6992	38	-1.66902e-05	-1.09809e-05
-10.6992	38.5	-1.04863e-05	-6.81732e-06
-10.6992	39	-4.88844e-06	-3.13186e-06
-10.6992	39.5	0	0

