# h/L (L = 20 nm)	F/A (kT / L^2)
# betaDeltaG0strong = -40
0.45	1.54822
0.5	1.33407
0.55	1.14184
0.6	0.966313
0.65	0.804812
0.7	0.655257
0.75	0.516
0.8	0.38571
0.85	0.263301
0.9	0.147872
0.95	0.0386669
1	-0.0649514
1.05	-0.0638264
1.1	-0.0626581
1.15	-0.061442
1.2	-0.0601739
1.25	-0.0588479
1.3	-0.0574572
1.35	-0.0559944
1.4	-0.0544496
1.45	-0.0521799
1.5	-0.0505467
1.55	-0.0487999
1.6	-0.0469176
1.65	-0.0448703
1.7	-0.0426162
1.75	-0.0400941
1.8	-0.0372067
1.85	-0.0337848
1.9	-0.029482
1.95	-0.0233382
2	0


# betaDeltaG0strong = -29
0.05	5.96035
0.1	4.5655
0.15	3.74858
0.2	3.1668
0.25	2.71659
0.3	2.34856
0.35	2.03725
0.4	1.76747
0.45	1.52941
0.5	1.31637
0.55	1.12359
0.6	0.947536
0.65	0.785528
0.7	0.636048
0.75	0.496236
0.8	0.365413
0.85	0.242489
0.9	0.126563
0.95	0.0168785
1	-0.0872043
1.05	-0.0857085
1.1	-0.084159
1.15	-0.0825503
1.2	-0.0808768
1.25	-0.0791312
1.3	-0.0773054
1.35	-0.0753899
1.4	-0.0733723
1.45	-0.0712386
1.5	-0.06897
1.55	-0.0665434
1.6	-0.0639282
1.65	-0.0610835
1.7	-0.0579509
1.75	-0.054445
1.8	-0.0504312
1.85	-0.0456732
1.9	-0.0396895
1.95	-0.0311447
2	0


# betaDeltaG0strong = -28
0.05	5.94797
0.1	4.54827
0.15	3.72936
0.2	3.14769
0.25	2.69609
0.3	2.32718
0.35	2.01453
0.4	1.74351
0.45	1.50432
0.5	1.29023
0.55	1.09646
0.6	0.919478
0.65	0.756594
0.7	0.605722
0.75	0.465205
0.8	0.333708
0.85	0.210139
0.9	0.0935928
0.95	-0.0166889
1	-0.121348
1.05	-0.119277
1.1	-0.117131
1.15	-0.114902
1.2	-0.112584
1.25	-0.110165
1.3	-0.107635
1.35	-0.10498
1.4	-0.102184
1.45	-0.0992255
1.5	-0.0960798
1.55	-0.0927144
1.6	-0.0890866
1.65	-0.0851392
1.7	-0.0807917
1.75	-0.0759249
1.8	-0.0703512
1.85	-0.0637424
1.9	-0.0554279
1.95	-0.0435507
2	0


# betaDeltaG0strong = -27
0.05	5.93055
0.1	4.529
0.15	3.70652
0.2	3.12198
0.25	2.66796
0.3	2.29657
0.35	1.98224
0.4	1.70971
0.45	1.46912
0.5	1.25373
0.55	1.05876
0.6	0.880641
0.65	0.716687
0.7	0.564798
0.75	0.423313
0.8	0.290892
0.85	0.166438
0.9	0.0490413
0.95	-0.0620585
1	-0.167507
1.05	-0.164647
1.1	-0.161684
1.15	-0.158607
1.2	-0.155404
1.25	-0.152063
1.3	-0.148567
1.35	-0.144897
1.4	-0.141031
1.45	-0.13694
1.5	-0.132588
1.55	-0.127932
1.6	-0.122911
1.65	-0.117446
1.7	-0.111425
1.75	-0.104682
1.8	-0.0969567
1.85	-0.0877918
1.9	-0.0766956
1.95	-0.0601511
2	0


# betaDeltaG0strong = -26
0.05	5.90977
0.1	4.50056
0.15	3.67363
0.2	3.08557
0.25	2.62859
0.3	2.25462
0.35	1.93799
0.4	1.66337
0.45	1.42087
0.5	1.20372
0.55	1.0071
0.6	0.827431
0.65	0.662014
0.7	0.508739
0.75	0.365935
0.8	0.232254
0.85	0.106593
0.9	-0.0119609
0.95	-0.124175
1	-0.230696
1.05	-0.226766
1.1	-0.222691
1.15	-0.218458
1.2	-0.214052
1.25	-0.209453
1.3	-0.20464
1.35	-0.199587
1.4	-0.194261
1.45	-0.188624
