# d (nm)	h (nm)	F (kT)
# Total number of tethers: 8
5.12821	20	0

7.17949	0.5	6.127
7.17949	1.52632	1.23
7.17949	2.55263	-1.14627
7.17949	3.57895	-2.79326
7.17949	4.60526	-4.12799
7.17949	5.63158	-5.24019
7.17949	6.65789	-6.06724
7.17949	7.68421	-6.93342
7.17949	8.71053	-7.83977
7.17949	9.73684	-8.74386
7.17949	10.7632	-8.80702
7.17949	11.7895	-8.43642
7.17949	12.8158	-8.0946
7.17949	13.8421	-7.23509
7.17949	14.8684	-5.86915
7.17949	15.8947	-5.75214
7.17949	16.9211	-4.45524
7.17949	17.9474	-3.997
7.17949	18.9737	-1.7473
7.17949	20	0

9.23077	0.5	6.10834
9.23077	1.52632	1.20419
9.23077	2.55263	-1.18692
9.23077	3.57895	-2.85705
9.23077	4.60526	-4.22052
9.23077	5.63158	-5.46993
9.23077	6.65789	-6.42842
9.23077	7.68421	-7.26273
9.23077	8.71053	-8.06753
9.23077	9.73684	-8.1914
9.23077	10.7632	-8.2228
9.23077	11.7895	-7.37896
9.23077	12.8158	-6.34211
9.23077	13.8421	-5.89987
9.23077	14.8684	-4.59842
9.23077	15.8947	-4.50741
9.23077	16.9211	-4.05005
9.23077	17.9474	-2.48328
9.23077	18.9737	-2.15226
9.23077	20	0

11.2821	0.5	5.4757
11.2821	1.52632	0.393318
11.2821	2.55263	-1.31207
11.2821	3.57895	-2.42201
11.2821	4.60526	-3.91628
11.2821	5.63158	-5.15184
11.2821	6.65789	-6.25876
11.2821	7.68421	-6.27548
11.2821	8.71053	-6.90012
11.2821	9.73684	-6.44977
11.2821	10.7632	-6.12739
11.2821	11.7895	-6.01113
11.2821	12.8158	-4.72099
11.2821	13.8421	-4.6276
11.2821	14.8684	-4.16792
11.2821	15.8947	-3.51892
11.2821	16.9211	-2.53264
11.2821	17.9474	-2.48367
11.2821	18.9737	-2.15483
11.2821	20	0

13.3333	0.5	7.17978
13.3333	1.52632	1.89117
13.3333	2.55263	-0.834982
13.3333	3.57895	-1.68269
13.3333	4.60526	-1.6591
13.3333	5.63158	-2.34888
13.3333	6.65789	-3.58073
13.3333	7.68421	-4.43599
13.3333	8.71053	-5.35519
13.3333	9.73684	-4.73628
13.3333	10.7632	-4.8089
13.3333	11.7895	-4.71777
13.3333	12.8158	-4.26165
13.3333	13.8421	-3.61423
13.3333	14.8684	-2.62528
13.3333	15.8947	-2.57203
13.3333	16.9211	-2.5216
13.3333	17.9474	-2.47376
13.3333	18.9737	-2.14827
13.3333	20	0

15.3846	0.5	11.1669
15.3846	1.52632	4.99233
15.3846	2.55263	4.50652
15.3846	3.57895	2.37499
15.3846	4.60526	0.737175
15.3846	5.63158	-0.631409
15.3846	6.65789	-1.92482
15.3846	7.68421	-3.00033
15.3846	8.71053	-3.80348
15.3846	9.73684	-4.2177
15.3846	10.7632	-4.31881
15.3846	11.7895	-2.76539
15.3846	12.8158	-2.70681
15.3846	13.8421	-2.65113
15.3846	14.8684	-2.59819
15.3846	15.8947	-2.54783
