# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
67.6923	11.2632	65.53
67.6923	13.3158	41.7896
67.6923	15.3684	21.5359
67.6923	17.4211	3.69517
67.6923	19.4737	-12.177
67.6923	21.5263	-15.0318
67.6923	23.5789	-13.8929
67.6923	25.6316	-12.4307
67.6923	27.6842	-11.053
67.6923	29.7368	-9.43806
67.6923	31.7895	-7.73027
67.6923	33.8421	-5.71871
67.6923	35.8947	-3.8599
67.6923	37.9474	-1.91369
67.6923	40	0

80	1	393.037
80	3.05263	249.06
80	5.10526	179.236
80	7.15789	132.142
80	9.21053	97.0213
80	11.2632	68.8347
80	13.3158	44.6552
80	15.3684	24.045
80	17.4211	5.94219
80	19.4737	-10.0479
80	21.5263	-12.8754
80	23.5789	-11.8643
80	25.6316	-10.5965
80	27.6842	-9.32922
80	29.7368	-7.96044
80	31.7895	-6.29202
80	33.8421	-5.01036
80	35.8947	-3.67192
80	37.9474	-1.93357
80	40	0

92.3077	1	404.803
92.3077	3.05263	254.936
92.3077	5.10526	183.734
92.3077	7.15789	135.929
92.3077	9.21053	99.9028
92.3077	11.2632	71.1833
92.3077	13.3158	47.153
92.3077	15.3684	26.4365
92.3077	17.4211	8.74587
92.3077	19.4737	-7.56924
92.3077	21.5263	-10.7192
92.3077	23.5789	-9.8138
92.3077	25.6316	-8.87431
92.3077	27.6842	-7.91715
92.3077	29.7368	-7.00765
92.3077	31.7895	-5.99738
92.3077	33.8421	-4.85506
92.3077	35.8947	-3.1763
92.3077	37.9474	-1.66511
92.3077	40	0

104.615	1	416.081
104.615	3.05263	262.087
104.615	5.10526	189.746
104.615	7.15789	141.348
104.615	9.21053	104.66
104.615	11.2632	74.8557
104.615	13.3158	50.3961
104.615	15.3684	29.4353
104.615	17.4211	10.6543
104.615	19.4737	-6.00614
104.615	21.5263	-9.6889
104.615	23.5789	-9.10337
104.615	25.6316	-8.11153
104.615	27.6842	-7.0654
104.615	29.7368	-6.03755
104.615	31.7895	-4.62308
104.615	33.8421	-3.69499
104.615	35.8947	-2.36315
104.615	37.9474	-1.29087
104.615	40	0

116.923	1	421.843
116.923	3.05263	266.052
116.923	5.10526	191.362
116.923	7.15789	142.926
116.923	9.21053	106.496
116.923	11.2632	77.1177
116.923	13.3158	52.543
116.923	15.3684	31.2548
116.923	17.4211	12.4063
116.923	19.4737	-4.13421
116.923	21.5263	-7.51219
116.923	23.5789	-7.06439
116.923	25.6316	-6.22844
116.923	27.6842	-5.36547
116.923	29.7368	-4.62618
116.923	31.7895	-3.90557
116.923	33.8421	-2.84859
116.923	35.8947	-1.935
116.923	37.9474	-1.17991
116.923	40	0

129.231	1	431.845
129.231	3.05263	271.877
129.231	5.10526	196.201
129.231	7.15789	146.782
129.231	9.21053	109.258
129.231	11.2632	79.3414
129.231	13.3158	54.617
129.231	15.3684	33.2254
129.231	17.4211	14.6752
129.231	19.4737	-1.91115
129.231	21.5263	-5.60958
129.231	23.5789	-5.17301
129.231	25.6316	-4.73633
129.231	27.6842	-4.1371
129.231	29.7368	-3.74017
129.231	31.7895	-3.1369
129.231	33.8421	-2.50393
129.231	35.8947	-1.67901
129.231	37.9474	-0.930499
129.231	40	0

141.538	1	441.063
141.538	3.05263	277.67
141.538	5.10526	201.299
141.538	7.15789	151.142
141.538	9.21053	113.016
141.538	11.2632	82.6277
141.538	13.3158	57.3658
141.538	15.3684	35.5305
141.538	17.4211	16.6006
141.538	19.4737	-0.336263
141.538	21.5263	-4.11126
141.538	23.5789	-3.85192
141.538	25.6316	-3.48257
141.538	27.6842	-3.14167
141.538	29.7368	-2.80855
141.538	31.7895	-2.34915
141.538	33.8421	-1.8256
141.538	35.8947	-1.24536
141.538	37.9474	-0.738394
141.538	40	0

153.846	1	448.954
153.846	3.05263	282.69
153.846	5.10526	204.997
153.846	7.15789	153.761
153.846	9.21053	115.395
153.846	11.2632	84.788
153.846	13.3158	59.2939
153.846	15.3684	37.2155
153.846	17.4211	18.0623
153.846	19.4737	0.90067
153.846	21.5263	-2.85675
153.846	23.5789	-2.5925
153.846	25.6316	-2.24461
153.846	27.6842	-1.96321
153.846	29.7368	-1.81169
153.846	31.7895	-1.27385
153.846	33.8421	-1.10293
153.846	35.8947	-0.767965
153.846	37.9474	-0.414821
153.846	40	0

166.154	1	455.017
166.154	3.05263	286.358
166.154	5.10526	207.886
166.154	7.15789	156.302
166.154	9.21053	117.365
166.154	11.2632	86.5716
166.154	13.3158	60.7626
166.154	15.3684	38.8799
166.154	17.4211	19.6668
166.154	19.4737	2.36238
166.154	21.5263	-1.59991
166.154	23.5789	-1.39516
166.154	25.6316	-1.22494
166.154	27.6842	-1.02681
166.154	29.7368	-0.828773
166.154	31.7895	-0.544309
166.154	33.8421	-0.519604
166.154	35.8947	-0.323805
166.154	37.9474	-0.141459
166.154	40	0

178.462	1	459.668
178.462	3.05263	288.978
178.462	5.10526	210.315
178.462	7.15789	158.036
178.462	9.21053	119.081
178.462	11.2632	87.9951
178.462	13.3158	62.1012
178.462	15.3684	40.0636
