# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
54.95	-2.22045e-16	0	-2.22045e-16
55.04	-2.22045e-16	0	-2.22045e-16
55.13	-2.22045e-16	0	-2.22045e-16
55.22	-2.22045e-16	0	-2.22045e-16
55.31	-2.22045e-16	0	-2.22045e-16
55.4	-2.22045e-16	0	-2.22045e-16
55.49	-2.22045e-16	0	-2.22045e-16
55.58	-2.22045e-16	0	-2.22045e-16
55.67	-2.22045e-16	0	-2.22045e-16
55.76	-2.22045e-16	0	-2.22045e-16
55.85	-2.22045e-16	0	-2.22045e-16
55.94	-2.22045e-16	0	-2.22045e-16
56.03	-2.22045e-16	0	-2.22045e-16
56.12	-2.22045e-16	0	-2.22045e-16
56.21	-2.22045e-16	0	-2.22045e-16
56.3	-2.22045e-16	0	-2.22045e-16
56.39	-2.22045e-16	0	-2.22045e-16
56.48	-2.22045e-16	0	-2.22045e-16
56.57	-2.22045e-16	0	-2.22045e-16
56.66	-2.22045e-16	0	-2.22045e-16
56.75	-2.22045e-16	0	-2.22045e-16
56.84	-2.22045e-16	0	-2.22045e-16
56.93	-2.22045e-16	0	-2.22045e-16
57.02	-2.22045e-16	0	-2.22045e-16
57.11	-2.22045e-16	0	-2.22045e-16
57.2	-2.22045e-16	0	-2.22045e-16
57.29	-2.22045e-16	0	-2.22045e-16
57.38	-2.22045e-16	0	-2.22045e-16
57.47	-2.22045e-16	0	-2.22045e-16
57.56	-2.22045e-16	0	-2.22045e-16
57.65	-2.22045e-16	0	-2.22045e-16
57.74	-2.22045e-16	0	-2.22045e-16
57.83	-2.22045e-16	0	-2.22045e-16
57.92	-2.22045e-16	0	-2.22045e-16
58.01	-2.22045e-16	0	-2.22045e-16
58.1	-2.22045e-16	0	-2.22045e-16
58.19	-2.22045e-16	0	-2.22045e-16
58.28	-2.22045e-16	0	-2.22045e-16
58.37	-2.22045e-16	0	-2.22045e-16
58.46	-2.22045e-16	0	-2.22045e-16
58.55	-2.22045e-16	0	-2.22045e-16
58.64	-2.22045e-16	0	-2.22045e-16
58.73	-2.22045e-16	0	-2.22045e-16
58.82	-2.22045e-16	0	-2.22045e-16
58.91	-2.22045e-16	0	-2.22045e-16
59	-2.22045e-16	0	-2.22045e-16
59.09	-2.22045e-16	0	-2.22045e-16
59.18	-2.22045e-16	0	-2.22045e-16
59.27	-2.22045e-16	0	-2.22045e-16
59.36	-2.22045e-16	0	-2.22045e-16
59.45	-2.22045e-16	0	-2.22045e-16
59.54	-2.22045e-16	0	-2.22045e-16
59.63	-2.22045e-16	0	-2.22045e-16
59.72	-2.22045e-16	0	-2.22045e-16
59.81	-2.22045e-16	0	-2.22045e-16
59.9	-2.22045e-16	0	-2.22045e-16
59.99	-2.22045e-16	0	-2.22045e-16
60.08	-2.22045e-16	0	-2.22045e-16
60.17	-2.22045e-16	0	-2.22045e-16
60.26	-2.22045e-16	0	-2.22045e-16
60.35	-2.22045e-16	0	-2.22045e-16
60.44	-2.22045e-16	0	-2.22045e-16
60.53	-2.22045e-16	0	-2.22045e-16
60.62	-2.22045e-16	0	-2.22045e-16
60.71	-2.22045e-16	0	-2.22045e-16
60.8	-2.22045e-16	0	-2.22045e-16
60.89	-2.22045e-16	0	-2.22045e-16
60.98	-2.22045e-16	0	-2.22045e-16
61.07	-2.22045e-16	0	-2.22045e-16
61.16	-2.22045e-16	0	-2.22045e-16
61.25	-2.22045e-16	0	-2.22045e-16
61.34	-2.22045e-16	0	-2.22045e-16
61.43	-2.22045e-16	0	-2.22045e-16
61.52	-2.22045e-16	0	-2.22045e-16
61.61	-2.22045e-16	0	-2.22045e-16
61.7	-2.22045e-16	0	-2.22045e-16
61.79	-2.22045e-16	0	-2.22045e-16
61.88	-2.22045e-16	0	-2.22045e-16
61.97	-2.22045e-16	0	-2.22045e-16
62.06	-2.22045e-16	0	-2.22045e-16
62.15	-2.22045e-16	0	-2.22045e-16
62.24	-2.22045e-16	0	-2.22045e-16
62.33	-2.22045e-16	0	-2.22045e-16
62.42	-2.22045e-16	0	-2.22045e-16
62.51	-2.22045e-16	0	-2.22045e-16
62.6	-2.22045e-16	0	-2.22045e-16
62.69	-2.22045e-16	0	-2.22045e-16
62.78	-2.22045e-16	0	-2.22045e-16
62.87	-2.22045e-16	0	-2.22045e-16
62.96	-2.22045e-16	0	-2.22045e-16
63.05	-2.22045e-16	0	-2.22045e-16
63.14	-2.22045e-16	0	-2.22045e-16
63.23	-2.22045e-16	0	-2.22045e-16
